Year,Income_real_wmean,Gross_Expenditure_real_wmean,housing_cost_adj_real_wmean
1394,10.314235171105986,9.59116055694823,0.4333153795228725
1395,11.019893645403979,9.790380254432884,0.4411744259172745
1396,11.68847336300148,10.320927514283957,0.44794302705045597
1397,11.904242771427112,10.619792689358729,0.40850213351601883
1398,10.401016693725534,9.080574716420546,0.3166169997199958
1399,11.139384717368289,9.104796212805315,0.2826385761198243
1400,11.72924149135844,9.422070048205335,0.2503455551069786
1401,11.999283085306008,9.67752677552977,0.21753456069895005
1402,12.694482477764504,9.987578040388087,0.20246129865973927
1403,12.77805794546558,9.886805833153488,0.19148984637261657
