Year,Owner_Inflation_%,Renter_Inflation_%
1394,4.3,7.71
1395,2.75,4.04
1396,3.54,5.1
1397,11.37,15.75
1398,13.29,19.3
1399,13.47,20.85
1400,15.27,23.7
1401,19.48,30.11
1402,12.45,25.3
1403,7.52,20.93
