Year,Income_real_wmean,Gross_Expenditure_real_wmean,housing_cost_adj_real_wmean
1394,14.058541381514516,13.822363709012881,0.49480821597539654
1395,16.12336523213823,14.960178387301937,0.5510168692934385
1396,17.159805792593904,15.349774069732776,0.5638410511945914
1397,18.134113828265733,16.150283614044152,0.46722833296813715
1398,16.20010843497755,14.56164989141598,0.3939333655524574
1399,17.18323727826145,14.423804612794486,0.33521558949002034
1400,17.253674681170867,14.46577197613749,0.32955409796846696
1401,16.934738575201557,13.857246887798539,0.26460155206845165
1402,20.075332641419898,16.97186567068679,0.30086688286095026
1403,19.04547152474035,15.264574342953486,0.2414913692850939
