Year,Rural,Urban,Urban_Tehran
1394,9.3,13.1,0.1504432515715479
1395,9.8,13.1,0.15172944218993512
1396,9.6,12.6,0.14217748621874812
1397,9.0,12.4,0.14393809696878235
1398,8.0,11.3,0.14779033561731988
1399,7.8,11.1,0.13262677089055
1400,6.6,10.4,0.14167178615035578
1401,5.8,10.6,0.1427049632276161
1402,5.6,11.0,0.16160305973697278
1403,5.5,11.6,0.16662296235329802
