Year,Rural_Renter_to_Owner,Urban_Renter_to_Owner,Tehran_Renter_to_Owner
1394,0.05419005006100906,0.3274553672249675,0.5173939030037356
1395,0.05066337238835891,0.33301530867541895,0.5936347604815007
1396,0.05451455366723142,0.3347618339513162,0.5677821188541001
1397,0.05842811572264444,0.37594673837132386,0.547096286000209
1398,0.05206958031248333,0.32395588775594936,0.5041917977966729
1399,0.05699256663369506,0.2999902000580826,0.4746219258312939
1400,0.05670711755416767,0.30476769556053823,0.4786521435650964
1401,0.05592316992632323,0.3109490356982104,0.5052669226616394
1402,0.04959525912600803,0.29366366463163335,0.5196903827952432
1403,0.046712771238561636,0.3021460408110925,0.47210734984375213
