Year,Income_real_wmean,Gross_Expenditure_real_wmean,housing_cost_adj_real_wmean
1394,11.41091055712305,12.488039960872129,3.487143125389254
1395,12.18351954161089,11.98687350985202,2.9233893607797254
1396,13.33736419015388,13.077150400339816,3.027571635805648
1397,13.672558932963925,13.721227049170842,3.420258006722346
1398,12.628657025936915,11.850056061122523,3.3726889545298016
1399,12.043160003622537,11.688058901397527,3.2311157591821993
1400,12.824900979479095,12.054450868808432,3.267799409783991
1401,13.394462232031959,12.406244165213545,3.269748500492516
1402,14.412913496048375,13.869058017241702,4.319805294417095
1403,14.761332107205561,12.272894542637895,3.9695937698708335
